date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-08-22,9.64280947,2.23834662,2.40399151,9.21626784,7.4142134,2.7646266,4.5277155,6.21073902,3.85831435,
2007-08-23,9.58334713,2.35056725,2.41655319,9.58511016,7.44394955,3.04108926,4.5551562,6.45118773,3.85831435,
2007-08-24,9.8112861,2.3960621,2.42754466,9.46296108,7.32500495,3.00131046,4.68961563,6.40002843,3.85831435,
2007-08-27,9.67254064,2.32630333,2.34432353,9.46296108,7.136676,3.08484594,4.78565808,6.24655053,3.85831435,
2007-08-28,9.47433284,2.39302911,2.25796198,9.02466144,7.02764345,3.08683488,4.68412749,6.0879567,3.85831435,
2007-08-29,9.08782763,2.4567219,2.23283862,9.0055008,7.18623625,3.11468004,4.56338841,5.94471066,3.85831435,
2007-08-30,9.49415362,2.47795283,2.31605975,9.04382208,7.58271825,3.27777312,4.6923597,6.18004344,3.85831435,
2007-08-31,9.55361596,2.45065592,2.31448954,8.97915492,7.5728062,3.3314745,4.64022237,6.18004344,3.85831435,
2007-09-03,10.28698482,2.59927243,2.3396129,9.10369908,7.91972795,3.39909846,4.65668679,6.53815854,3.85831435,
2007-09-04,9.80137571,2.55074459,2.31291933,8.98873524,7.97920025,3.26981736,4.55790027,6.31305762,3.85831435,
2007-09-05,9.97976273,2.61140439,2.29721723,8.92406808,8.23691355,3.29368464,4.56064434,6.25166646,3.85831435,
2007-09-06,9.90047961,2.62656934,2.35845542,8.85700584,8.127881,3.3613086,4.664919,6.27724611,3.85831435,
2007-09-07,9.40496011,2.4870518,2.2454003,8.54564544,7.6322785,3.27976206,4.59631725,6.07260891,3.85831435,
2007-09-10,9.96985234,2.54467861,2.22341736,8.67737484,8.09814485,3.27777312,4.63199016,6.09818856,3.85831435,
2007-09-11,8.96890295,2.39909509,2.041273,8.05225896,7.4340375,3.24992796,4.31093397,5.86797171,3.85831435,
2007-09-12,8.88961983,2.51434871,2.041273,8.00435736,7.48359775,3.42893256,4.23410001,5.70937788,3.85831435,
2007-09-13,8.95899256,2.52648067,2.06168573,8.20554408,7.5529821,3.5900367,4.37679165,5.73495753,3.85831435,
2007-09-14,9.17702114,2.49008479,2.12606434,8.02112292,7.54307005,3.61390398,4.33288653,5.69403009,3.85831435,
2007-09-17,9.30585621,2.60533841,2.1354856,7.97322132,7.68183875,3.61390398,4.40972049,5.83727613,3.85831435,
2007-09-18,9.17702114,2.60533841,2.14804728,7.89897384,7.82060745,3.55224684,4.44813747,5.7810009,3.85831435,
2007-09-19,9.37522894,2.71452605,2.12449413,8.29655712,7.6521026,3.45478878,4.34660688,5.61729114,3.85831435,
2007-09-20,9.66263025,2.74182296,2.17160043,8.19596376,7.72148695,3.48263394,4.3081899,5.66845044,3.85831435,
2007-09-21,10.26716404,2.6690312,2.13862602,7.97322132,7.48359775,3.73721826,4.26428478,5.77588497,3.85831435,
2007-09-24,10.04913546,2.69632811,2.1040814,8.00675244,7.28535675,3.73324038,4.29172548,5.66845044,3.85831435,
2007-09-25,9.64280947,2.62050336,2.09780056,8.12171628,7.18623625,3.63578232,4.17921861,5.53543626,3.85831435,
2007-09-26,9.16711075,2.50828273,2.05383468,8.14087692,7.10693985,3.84263208,4.12159314,5.72472567,3.85831435,
